MeterId,StartDate,EndDate,Value (kWh),Notes
1008901023804960410100,2018-12-05 00:00:00,2018-12-06 00:00:00,11.706,
1008901023804960410100,2018-12-06 00:00:00,2018-12-07 00:00:00,11.02,
1008901023804960410100,2018-12-07 00:00:00,2018-12-08 00:00:00,19.053,
1008901023804960410100,2018-12-08 00:00:00,2018-12-09 00:00:00,15.361,
1008901023804960410100,2018-12-09 00:00:00,2018-12-10 00:00:00,20.478,
1008901023804960410100,2018-12-10 00:00:00,2018-12-11 00:00:00,9.373,
1008901023804960410100,2018-12-11 00:00:00,2018-12-12 00:00:00,23.75,
1008901023804960410100,2018-12-12 00:00:00,2018-12-13 00:00:00,20.168,
1008901023804960410100,2018-12-13 00:00:00,2018-12-14 00:00:00,13.405,
1008901023804960410100,2018-12-14 00:00:00,2018-12-15 00:00:00,19.832,
1008901023804960410100,2018-12-15 00:00:00,2018-12-16 00:00:00,14.831,
1008901023804960410100,2018-12-16 00:00:00,2018-12-17 00:00:00,19.449,
1008901023804960410100,2018-12-17 00:00:00,2018-12-18 00:00:00,18.805,
1008901023804960410100,2018-12-18 00:00:00,2018-12-19 00:00:00,12.836,
1008901023804960410100,2018-12-19 00:00:00,2018-12-20 00:00:00,11.136,
1008901023804960410100,2018-12-20 00:00:00,2018-12-21 00:00:00,9.359,
1008901023804960410100,2018-12-21 00:00:00,2018-12-22 00:00:00,13.727,
1008901023804960410100,2018-12-22 00:00:00,2018-12-23 00:00:00,16.103,
1008901023804960410100,2018-12-23 00:00:00,2018-12-24 00:00:00,17.594,
1008901023804960410100,2018-12-24 00:00:00,2018-12-25 00:00:00,15.463,
1008901023804960410100,2018-12-25 00:00:00,2018-12-26 00:00:00,13.197,
1008901023804960410100,2018-12-26 00:00:00,2018-12-27 00:00:00,17.153,
1008901023804960410100,2018-12-27 00:00:00,2018-12-28 00:00:00,20.808,
1008901023804960410100,2018-12-28 00:00:00,2018-12-29 00:00:00,13.553,
1008901023804960410100,2018-12-29 00:00:00,2018-12-30 00:00:00,23.503,
1008901023804960410100,2018-12-30 00:00:00,2018-12-31 00:00:00,25.064,
1008901023804960410100,2018-12-31 00:00:00,2019-01-01 00:00:00,13.539,
1008901023804960410100,2019-01-01 00:00:00,2019-01-02 00:00:00,26.483,
1008901023804960410100,2019-01-02 00:00:00,2019-01-03 00:00:00,14.753,
